# Open English WordNet 2024 (CC BY 4.0), lemma -> synsets in sense order. See THIRD_PARTY.md
absorbency	27419
absorbent	78220,98814
absorbent_cotton	78224
absorbent_material	78220
absorber	78223
absorptance	72576
absorption	71767,71768,71827,71826,31361,31341
absorption_band	62086
absorption_coefficient	72576
absorption_factor	27805
absorption_indicator	78225
absorption_spectrum	62088
absorption_unit	72650
absorptivity	27805
abstainer	52522,52521
abstemiousness	28343,27127
abstention	27120
abstinence	27120,5474
abstinent	52521,98830
abstract	32113,34943,88346,96281,88545,89799,98839,109627,103516
abstract_art	14238
abstract_artist	52523
abstract_entity	2
abstract_expressionism	14236
abstract_thought	31701
abstractedness	31343
abstracter	52502
abstraction	32113,1928,31738,14237,31343,2
abstractionism	14238,32535
abstractionist	52523,109627
abstractness	26519
abstractor	52502
abstruseness	26820,32453
abstrusity	32453
absurd	74621,106594,113052
absurdist_humor	84605
absurdist_humour	84605
absurdity	35678,27171
absurdness	35678
abu_ali_al-husain_ibn_abdallah_ibn_sina	58842
abu_dhabi	48694
abu_hafs_al-masri_brigades	43896
abu_nidal_organization	43926
abu_qir_bay	49431
abu_sayyaf	43897
abudefduf	13875
abudefduf_saxatilis	13876
abuja	48367
abukir	49431
abukir_bay	49431
abul-walid_mohammed_ibn-ahmad_ibn-mohammed_ibn-roshd	58841
abulia	75129
abundance	28347,74009,74008
abuse	2069,36295,4846,97457,85915,89039,85916
abuser	52524
abutilon	65587
abutilon_theophrasti	65589
abutment	46792,14239
abutment_arch	14240
abutter	52525
abvolt	72876
abwatt	72886
aby_moritz_warburg	61827
aby_warburg	61827
abydos	48673
abyla	50121
abysm	49432
abyss	49432
abyssal_zone	49433
abyssinia	47509
abyssinian	11076
abyssinian_banana	66434
abyssinian_cat	11076
abzu	51140
ac	62103,78375
acacia	63579
acacia_auriculiformis	63583
acacia_cambegei	63584
acacia_catechu	63585
acacia_dealbata	63587
acacia_farnesiana	63588
acacia_melanoxylon	63589
acacia_pycnantha	63590
acacia_xanthophloea	63591
academe	45130
academia	45130
academic	52527,113230,103517,110194
academic_administrator	52526
academic_art	83787
academic_costume	14241
academic_degree	36176
academic_department	44338
academic_freedom	74949
academic_gown	14242
academic_program	32372
academic_relation	74134
academic_requirement	32289
academic_robe	14242
academic_session	81730
academic_term	81730
academic_year	81603
academician	52529,52528,52527
academicianship	2935
academicism	26716,83334,83787
academism	26716,83787
academy	45152,45158,45143,14243
academy_award	39384
academy_of_motion_picture_arts_and_sciences	45159
academy_of_television_arts_and_sciences	45160
acadia	47697
acadia_national_park	46684
acadian	51986
acalypha	69147
acalypha_virginica	69148
acantha	74542
acanthaceae	68611
acanthion	28915
acanthisitta	8107
acanthisitta_chloris	8108
acanthisittidae	8103
acanthocephala	9908
acanthocephalan	9909
acanthocereus	63991
acanthocereus_pentagonus	63992
acanthocereus_tetragonus	63992
acanthocybium	13981
acanthocybium_solandri	13982
acanthocyte	30091
acanthocytosis	75363
acantholysis	76129
acanthoma	76210
acanthophis	8988
acanthophis_antarcticus	8989
acanthopterygian	13568
acanthopterygii	13567
acanthoscelides	11410
acanthoscelides_obtectus	11411
acanthosis	76130
acanthosis_nigricans	76131
acanthuridae	13960
acanthurus	13962
acanthurus_chirurgus	13963
acanthus	68613
acanthus_family	68611
acanthus_mollis	68614
acapnia	75208
acapulco	47327
acapulco_de_juarez	47327
acapulco_gold	14244
acaracide	78228
acardia	75091
acariasis	77442
